track,artist,album,uri,times_played
Alone In My Home,Jack White,Lazaretto,spotify:track:6WuKJi5EXFn7RuS5dvLfZB,1
Alone Together,Fall Out Boy,Save Rock And Roll,spotify:track:5MsZIaCYY6Tsdph0LiB0hE,13
Alone Together - Jump Smokers Remix,Fall Out Boy,Alone Together,spotify:track:6al9fEZqKu4vRTOtO9YMIi,1
Alone Together - Krewella Remix,Fall Out Boy,Alone Together,spotify:track:07cY8RVMoK11sRdLIUINW6,2
Alpha Dog,Fall Out Boy,Believers Never Die - Greatest Hits,spotify:track:78QivlATTLEV1vaUPBTGlt,17
Alphabet St.,Prince,The Very Best of Prince,spotify:track:5IWlml6ny25ggdP4uH6xLP,18
Always,blink-182,blink-182 (explicit version),spotify:track:5SqpVvqft9YW2Igg1nZJwz,1
Always Like This,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,spotify:track:73M2Vb5MfZh8iGKudkMtlw,1
Always Something,Cage The Elephant,Thank You Happy Birthday,spotify:track:7lWrbqRzkjLIv9SGHUDDnL,2
Am I Wrong,Nico & Vinz,Am I Wrong,spotify:track:2wqaekenSQZm7hxQOYt8oE,1
AMBULANCE,My Chemical Romance,Number Two,spotify:track:1X75XA77E14HqCCBfkl5FM,1
America,Simon & Garfunkel,The Essential Simon & Garfunkel,spotify:track:0B4l37fFlfuV2Ms2Yow2dZ,2
America,Razorlight,Razorlight,spotify:track:6wtB3HCBM9YpIKBFjKkiMi,2
America's Suitehearts,Fall Out Boy,Believers Never Die - Greatest Hits,spotify:track:2mubdAZmQlrUJgbom3RVmw,62
American,Lana Del Rey,Born To Die - The Paradise Edition,spotify:track:7wfCiX59FY09gsKKFhYfxp,1
American Eulogy: Mass Hysteria / Modern World,Green Day,21st Century Breakdown,spotify:track:2DSgsIY3ZCjx7DhMNRzsSS,1
American Horror Story Theme (Long Version),AHS Project,American Horror Story,spotify:track:4wTdIPoTgldrXGQN5Nzg7q,2
American Hustle,Soundtrack and Theme Master,"Classic Movie Theme Collection – Soundtracks to Our Lives, Vol. 3",spotify:track:2ZoWc8hxwBpz7qjdzPqVPw,1
American Idiot,Green Day,American Idiot,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,5
American Made,Fall Out Boy,PAX AM Days,spotify:track:0ij3jsLcJ08IFBnMTZwmNE,3
Amsterdam - 2002 Remastered Version,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars [30th Anniversary Edition],spotify:track:5Coc0XBq3qJOBZ3A15B8m8,1
An Occurrence at Owl Creek Bridge (Ambrose Bierce),Nelson Olmsted,Classic Horror Stories,spotify:track:3J3Lm81lHVJZVnq9M8RJNV,1
An Orphan Of Fortune,MGMT,MGMT,spotify:track:5hrZiUHY4JnXNnYy7um8Vt,3
An Unexpected Party - Extended Version,Howard Shore,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition],spotify:track:3OsJVhgH9fN5pggsxmVua9,1
Anarchy in the U.K.,Sex Pistols,"Never Mind The Bollocks, Here's The Sex Pistols",spotify:track:3LoDeIbiR12sAznmpNEmKA,2
Angel,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,spotify:track:2I14CRglrAX93shSeSjYzM,26
Angel Blue,Green Day,¡UNO!,spotify:track:4Rce7Dk3rYxcAbpRUvGPmV,1
Angels,The xx,Coexist,spotify:track:1zuKjpp4t7BS8JPKi6mkQr,15
Angels,The xx,Angels,spotify:track:0s81xsu7KqFnKI73pCNqp9,15
Angie - Remastered 2009,The Rolling Stones,Goats Head Soup,spotify:track:1GcVa4jFySlun4jLSuMhiq,1
Animal Nitrate,The London Suede,The Best Of,spotify:track:7fIzlbcd9sB9xPcoQ2qVjc,1
Animals - Extended,Martin Garrix,Animals,spotify:track:6JEntXLt4z98CcDtIH9sU7,1
Another Dead Cow,Kathy Brier,Bat Boy: The Musical (Original Off-Broadway Cast Recording),spotify:track:1BuEfjZctZafFfSq3PhRQm,1
Another Is Waiting,The Avett Brothers,Magpie And The Dandelion,spotify:track:5dFeNkfQT1l8XdEA990jxP,1
Another Love,Tom Odell,Long Way Down,spotify:track:7otCGmgp9h4CsR2LhwB6gt,1
Another One Bites The Dust - Digital Remaster,Queen,The A-Z of Queen Vol. 1,spotify:track:5R7HCiz74SCihxh0KL4iwf,1
Another One Bites The Dust - Remastered 2011,Queen,The Game,spotify:track:57JVGBtBLCfHw2muk5416J,23
